玩家名,行,列,用时/秒,时间,UNIX时间戳
天天434,20,14,'1.00,Fri Jan 28 2022 20:36:24 GMT+0800 (中国标准时间),1643373384
天天434,20,14,'1.18,Fri Jan 28 2022 20:36:31 GMT+0800 (中国标准时间),1643373391
天天434,20,14,'1.63,Fri Jan 28 2022 20:36:42 GMT+0800 (中国标准时间),1643373402
天天434,20,14,'2.06,Fri Jan 28 2022 20:36:47 GMT+0800 (中国标准时间),1643373407
天天434,20,14,'1.12,Fri Jan 28 2022 20:36:52 GMT+0800 (中国标准时间),1643373412
天天434,20,14,'4.15,Fri Jan 28 2022 20:36:58 GMT+0800 (中国标准时间),1643373418
天天434,20,14,'1.16,Fri Jan 28 2022 20:37:03 GMT+0800 (中国标准时间),1643373423
天天434,20,14,'0.94,Fri Jan 28 2022 20:37:08 GMT+0800 (中国标准时间),1643373428
天天434,20,14,'0.91,Fri Jan 28 2022 20:37:12 GMT+0800 (中国标准时间),1643373432
天天434,20,14,'0.98,Fri Jan 28 2022 20:37:17 GMT+0800 (中国标准时间),1643373437
天天434,20,14,'3.25,Fri Jan 28 2022 20:37:24 GMT+0800 (中国标准时间),1643373444
天天434,20,14,'1.71,Fri Jan 28 2022 20:37:32 GMT+0800 (中国标准时间),1643373452
天天434,20,14,'0.97,Fri Jan 28 2022 20:37:36 GMT+0800 (中国标准时间),1643373456
天天434,20,14,'1.52,Fri Jan 28 2022 20:37:45 GMT+0800 (中国标准时间),1643373465
天天434,20,14,'1.83,Fri Jan 28 2022 20:37:53 GMT+0800 (中国标准时间),1643373473
天天434,20,14,'2.00,Fri Jan 28 2022 20:37:59 GMT+0800 (中国标准时间),1643373479
天天434,20,14,'0.99,Fri Jan 28 2022 20:38:05 GMT+0800 (中国标准时间),1643373485
天天434,20,14,'3.61,Fri Jan 28 2022 20:38:13 GMT+0800 (中国标准时间),1643373493
天天434,20,14,'1.19,Fri Jan 28 2022 20:38:17 GMT+0800 (中国标准时间),1643373497
平安名堇,50,50,'10.87,Fri Jan 28 2022 20:39:26 GMT+0800 (CST),1643373566
哦吼,14,10,'2.83,Fri Jan 28 2022 22:10:19 GMT+0800 (中国标准时间),1643379019
唐可可,14,10,'2.69,Fri Jan 28 2022 22:16:19 GMT+0800 (中国标准时间),1643379379
六七,14,10,'1.99,Fri Jan 28 2022 22:29:31 GMT+0800 (中国标准时间),1643380171
致命,20,14,'1.69,Fri Jan 28 2022 23:14:29 GMT+0800 (中国标准时间),1643382869
叶月恋,14,10,'2.32,Fri Jan 28 2022 23:21:07 GMT+0800 (中国标准时间),1643383267
圣泽悠奈,14,10,'1.19,Fri Jan 28 2022 23:37:42 GMT+0800 (中国标准时间),1643384262
hb,14,10,'2.61,Fri Jan 28 2022 23:38:09 GMT+0800 (CST),1643384289
叶月恋,14,10,'2.78,Fri Jan 28 2022 23:50:16 GMT+0800 (中国标准时间),1643385016
叶月恋,14,10,'2.09,Fri Jan 28 2022 23:56:20 GMT+0800 (中国标准时间),1643385380
叶月恋,14,10,'1.75,Fri Jan 28 2022 23:56:36 GMT+0800 (中国标准时间),1643385396
唐可可,14,10,'2.83,Sat Jan 29 2022 00:01:02 GMT+0800 (China Standard Time),1643385662
唐可可,14,10,'3.00,Sat Jan 29 2022 01:36:21 GMT+0800 (中国标准时间),1643391381
唐可可,14,10,'2.15,Sat Jan 29 2022 01:38:19 GMT+0800 (中国标准时间),1643391499
七阴,14,10,'2.37,Sat Jan 29 2022 01:39:04 GMT+0800 (中国标准时间),1643391544
七阴,14,10,'2.97,Sat Jan 29 2022 01:40:33 GMT+0800 (中国标准时间),1643391633
七阴,14,10,'2.09,Sat Jan 29 2022 01:41:17 GMT+0800 (中国标准时间),1643391677
七阴,14,10,'1.94,Sat Jan 29 2022 01:42:05 GMT+0800 (中国标准时间),1643391725
七阴,14,10,'2.39,Sat Jan 29 2022 01:43:10 GMT+0800 (中国标准时间),1643391790
七阴,14,10,'2.76,Sat Jan 29 2022 01:43:52 GMT+0800 (中国标准时间),1643391832
七阴,14,10,'1.78,Sat Jan 29 2022 01:44:24 GMT+0800 (中国标准时间),1643391864
七阴,14,10,'1.44,Sat Jan 29 2022 01:45:55 GMT+0800 (中国标准时间),1643391955
七阴,14,10,'1.57,Sat Jan 29 2022 01:46:23 GMT+0800 (中国标准时间),1643391983
七阴,14,10,'2.58,Sat Jan 29 2022 01:47:10 GMT+0800 (中国标准时间),1643392030
七阴,14,10,'2.83,Sat Jan 29 2022 01:48:04 GMT+0800 (中国标准时间),1643392084
七阴,14,10,'2.13,Sat Jan 29 2022 01:48:21 GMT+0800 (中国标准时间),1643392101
七阴,14,10,'2.83,Sat Jan 29 2022 01:48:32 GMT+0800 (中国标准时间),1643392112
七阴,14,10,'2.45,Sat Jan 29 2022 01:48:56 GMT+0800 (中国标准时间),1643392136
七阴,14,10,'1.99,Sat Jan 29 2022 01:49:01 GMT+0800 (中国标准时间),1643392141
七阴,14,10,'1.42,Sat Jan 29 2022 01:49:18 GMT+0800 (中国标准时间),1643392158
七阴,14,10,'1.38,Sat Jan 29 2022 01:49:35 GMT+0800 (中国标准时间),1643392175
七阴,14,10,'2.39,Sat Jan 29 2022 01:49:51 GMT+0800 (中国标准时间),1643392191
七阴,14,10,'2.74,Sat Jan 29 2022 01:50:06 GMT+0800 (中国标准时间),1643392206
七阴,14,10,'2.80,Sat Jan 29 2022 01:50:13 GMT+0800 (中国标准时间),1643392213
七阴,14,10,'2.20,Sat Jan 29 2022 01:51:08 GMT+0800 (中国标准时间),1643392268
七阴,14,10,'2.64,Sat Jan 29 2022 01:51:14 GMT+0800 (中国标准时间),1643392274
七阴,14,10,'2.89,Sat Jan 29 2022 01:51:30 GMT+0800 (中国标准时间),1643392290
七阴,14,10,'2.42,Sat Jan 29 2022 01:51:48 GMT+0800 (中国标准时间),1643392308
七阴,14,10,'1.38,Sat Jan 29 2022 01:51:53 GMT+0800 (中国标准时间),1643392313
七阴,14,10,'1.46,Sat Jan 29 2022 01:51:58 GMT+0800 (中国标准时间),1643392318
七阴,14,10,'2.05,Sat Jan 29 2022 01:52:11 GMT+0800 (中国标准时间),1643392331
七阴,14,10,'2.07,Sat Jan 29 2022 01:52:17 GMT+0800 (中国标准时间),1643392337
七阴,14,10,'1.31,Sat Jan 29 2022 01:52:27 GMT+0800 (中国标准时间),1643392347
七阴,14,10,'2.56,Sat Jan 29 2022 01:52:55 GMT+0800 (中国标准时间),1643392375
七阴,14,10,'1.53,Sat Jan 29 2022 01:53:00 GMT+0800 (中国标准时间),1643392380
七阴,14,10,'2.63,Sat Jan 29 2022 01:53:32 GMT+0800 (中国标准时间),1643392412
七阴,14,10,'2.73,Sat Jan 29 2022 01:53:40 GMT+0800 (中国标准时间),1643392420
七阴,14,10,'2.14,Sat Jan 29 2022 01:54:05 GMT+0800 (中国标准时间),1643392445
七阴,14,10,'2.25,Sat Jan 29 2022 01:54:15 GMT+0800 (中国标准时间),1643392455
七阴,14,10,'2.29,Sat Jan 29 2022 01:54:20 GMT+0800 (中国标准时间),1643392460
